deal No,dummy,dummy,dateTime,,
1,-,-,44321,52,19
2,-,-,44352,58,30
3,-,-,44535,48,11
4,-,-,5/13/2021,59,17
5,-,-,5/14/2021,24,4
6,-,-,5/20/2021,27,3
7,-,-,5/21/2021,0,0
8,-,-,05/02/2021,8,0
9,-,-,05/03/2021,5,1
10,-,-,05/09/2021,37,10
11,-,-,05/10/2021,24,3
12,-,-,5/17/2021,16,3
13,-,-,5/18/2021,38,6
14,-,-,5/25/2021,98,5
15,-,-,5/30/2021,18,3
16,-,-,5/31/2021,2,0
17,-,-,05/02/2021,27,5
18,-,-,05/07/2021,19,6
19,-,-,44413,56,12
20,-,-,5/15/2021,19,8
21,-,-,5/16/2021,22,1
22,-,-,5/26/2021,71,14
23,-,-,5/27/2021,129,18
24,-,-,5/29/2021,36,17
25,-,-,5/30/2021,62,18
26,-,-,44260,29,3
27,-,-,44291,0,0
28,-,-,44474,21,12
29,-,-,44505,16,16
30,-,-,5/17/2021,92,28
31,-,-,5/18/2021,125,48
32,-,-,5/19/2021,88,22
33,-,-,5/20/2021,145,43
34,-,-,5/21/2021,1,1
35,-,-,5/25/2021,35,4
36,-,-,5/26/2021,2,0
37,-,-,5/31/2021,17,2
38,-,-,44201,31,16
39,-,-,44232,70,6
40,-,-,44535,48,6
41,-,-,5/13/2021,37,4
42,-,-,5/15/2021,102,47
43,-,-,5/16/2021,72,29
44,-,-,5/23/2021,37,6
45,-,-,5/24/2021,1,0
46,-,-,5/30/2021,6,5
47,-,-,44201,32,7
48,-,-,44232,8,1
49,-,-,44413,1,2
50,-,-,44444,18,2
51,-,-,5/13/2021,85,27
52,-,-,5/14/2021,139,9
53,-,-,44291,39,15
54,-,-,44321,37,2
55,-,-,44505,11,2
56,-,-,44535,62,5
57,-,-,5/18/2021,37,4
58,-,-,5/19/2021,5,2
59,-,-,5/27/2021,6,2
60,-,-,5/28/2021,27,6
61,-,-,44535,55,3
62,-,-,5/14/2021,2,4
63,-,-,5/15/2021,0,0
64,-,-,5/23/2021,106,10
65,-,-,5/24/2021,18,1
66,-,-,5/29/2021,22,14
67,-,-,44201,234,25
68,-,-,44232,176,19
69,-,-,44260,291,24
70,-,-,44291,6,1
71,-,-,5/14/2021,3,1
72,-,-,5/15/2021,62,7
73,-,-,5/22/2021,3,1
74,-,-,5/23/2021,29,4
75,-,-,5/29/2021,1,0
76,-,-,44291,27,6
77,-,-,44444,17,11
78,-,-,44474,7,4
79,-,-,5/15/2021,35,5
80,-,-,5/16/2021,61,5
81,-,-,5/25/2021,7,2
82,-,-,5/26/2021,0,0
83,-,-,5/30/2021,30,17
84,-,-,44260,53,16
85,-,-,44291,1,0
86,-,-,44444,14,5
87,-,-,5/16/2021,32,2
88,-,-,5/17/2021,0,0
89,-,-,5/24/2021,19,1
90,-,-,5/25/2021,1,0
91,-,-,5/30/2021,32,2
92,-,-,44321,28,1
93,-,-,44352,48,4
94,-,-,44382,52,4
95,-,-,44413,47,3
96,-,-,44444,0,0
97,-,-,44535,31,2
98,-,-,5/13/2021,21,2
99,-,-,5/19/2021,66,23
100,-,-,5/20/2021,120,56
101,-,-,5/21/2021,97,52
102,-,-,5/22/2021,44,29
103,-,-,5/23/2021,42,29
104,-,-,5/24/2021,88,33
105,-,-,5/25/2021,48,18
106,-,-,5/26/2021,71,18
107,-,-,5/27/2021,52,22
108,-,-,5/28/2021,51,28
109,-,-,5/29/2021,41,4
110,-,-,5/30/2021,6,3
111,-,-,44232,41,4
112,-,-,44382,24,17
113,-,-,5/14/2021,1,1
114,-,-,5/15/2021,0,0
115,-,-,5/22/2021,31,1
116,-,-,5/23/2021,0,0
117,-,-,44413,19,13
118,-,-,44444,20,13
119,-,-,44505,0,0
120,-,-,44535,0,0
121,-,-,5/19/2021,21,1
122,-,-,5/20/2021,4,0
123,-,-,5/26/2021,133,17
124,-,-,5/27/2021,34,5
125,-,-,5/28/2021,0,0
126,-,-,44352,22,15
127,-,-,44382,57,6
128,-,-,5/13/2021,3,0
129,-,-,5/14/2021,19,1
130,-,-,5/19/2021,9,1
131,-,-,5/20/2021,40,6
132,-,-,44291,46,10
133,-,-,44321,88,8
134,-,-,44352,109,10
135,-,-,44382,18,1
136,-,-,44474,21,1
137,-,-,44505,37,6
138,-,-,44535,32,4
139,-,-,5/21/2021,42,2
140,-,-,5/25/2021,7,2
141,-,-,5/26/2021,53,2
142,-,-,5/31/2021,29,12
143,-,-,44201,29,2
144,-,-,44382,38,7
145,-,-,5/14/2021,33,1
146,-,-,5/22/2021,5,0
147,-,-,5/23/2021,58,4
148,-,-,44201,0,0
149,-,-,44352,47,7
150,-,-,44382,1,0
151,-,-,5/14/2021,109,7
152,-,-,5/23/2021,10,6
153,-,-,44444,8,1
154,-,-,44474,43,15
155,-,-,5/18/2021,2,0
156,-,-,5/19/2021,37,3
157,-,-,5/20/2021,16,2
158,-,-,5/21/2021,17,4
159,-,-,5/22/2021,43,4
160,-,-,5/23/2021,15,2
161,-,-,5/24/2021,29,5
162,-,-,5/25/2021,17,3
163,-,-,5/26/2021,46,5
164,-,-,5/27/2021,44,9
165,-,-,5/28/2021,32,3
166,-,-,5/29/2021,32,8
167,-,-,5/30/2021,8,2
168,-,-,44201,20,4
169,-,-,44382,9,1
170,-,-,44413,34,3
171,-,-,5/14/2021,4,3
172,-,-,5/15/2021,0,0
173,-,-,5/23/2021,36,2
174,-,-,5/24/2021,0,0
175,-,-,5/29/2021,39,2
176,-,-,44232,45,3
177,-,-,44260,69,6
178,-,-,44291,1,0
179,-,-,44413,19,6
180,-,-,44444,6,2
181,-,-,5/16/2021,0,0
182,-,-,5/17/2021,14,6
183,-,-,5/18/2021,10,8
184,-,-,5/23/2021,23,22
185,-,-,5/29/2021,53,2
186,-,-,5/30/2021,39,2
187,-,-,44260,76,11
188,-,-,44291,1,0
189,-,-,44505,9,6
190,-,-,44535,6,0
191,-,-,5/31/2021,11,10
192,-,-,44352,9,0
193,-,-,5/17/2021,0,0
194,-,-,44260,0,0
195,-,-,5/15/2021,30,2
196,-,-,5/16/2021,144,58
197,-,-,5/19/2021,0,0
198,-,-,5/21/2021,38,1
199,-,-,5/22/2021,144,15
200,-,-,5/29/2021,0,0
201,-,-,5/30/2021,27,10
202,-,-,44260,37,11
203,-,-,44291,3,2
204,-,-,5/16/2021,50,5
205,-,-,5/24/2021,43,2
206,-,-,5/30/2021,128,3
207,-,-,5/31/2021,325,15
208,-,-,44535,32,26
209,-,-,5/13/2021,79,11
210,-,-,5/19/2021,5,1
211,-,-,5/20/2021,36,5
212,-,-,5/27/2021,24,3
213,-,-,5/28/2021,83,20
214,-,-,5/29/2021,51,20
215,-,-,44291,25,6
216,-,-,44505,2,1
217,-,-,44535,38,4
218,-,-,5/18/2021,5,0
219,-,-,5/19/2021,31,14
220,-,-,5/26/2021,5,1
221,-,-,44201,19,14
222,-,-,44382,39,3
223,-,-,44413,68,6
224,-,-,5/15/2021,24,10
225,-,-,5/16/2021,198,11
226,-,-,5/22/2021,15,3
227,-,-,5/29/2021,56,3
228,-,-,5/30/2021,0,0
229,-,-,44201,28,8
230,-,-,44232,36,25
231,-,-,5/30/2021,0,0
232,-,-,5/31/2021,30,4
233,-,-,44260,36,4
234,-,-,44291,0,0
235,-,-,44444,39,29
236,-,-,44474,136,19
237,-,-,5/16/2021,5,2
238,-,-,5/17/2021,20,2
239,-,-,5/25/2021,88,5
240,-,-,5/26/2021,123,12
241,-,-,5/31/2021,30,2
242,-,-,44382,97,8
243,-,-,44413,0,0
244,-,-,5/15/2021,44,30
245,-,-,5/16/2021,0,0
246,-,-,5/22/2021,48,3
247,-,-,5/29/2021,35,4
248,-,-,5/30/2021,14,1
249,-,-,44260,40,5
250,-,-,44291,19,2
251,-,-,44474,12,3
252,-,-,44201,37,2
253,-,-,44413,41,3
254,-,-,44444,90,17
255,-,-,44474,96,15
256,-,-,44505,97,14
257,-,-,44535,68,7
258,-,-,5/13/2021,84,10
259,-,-,5/14/2021,76,7
260,-,-,5/15/2021,87,9
261,-,-,5/16/2021,68,6
262,-,-,5/17/2021,67,8
263,-,-,5/18/2021,22,3
264,-,-,5/19/2021,71,19
265,-,-,5/26/2021,6,3
266,-,-,5/27/2021,6,2
267,-,-,44291,31,18
268,-,-,44321,41,2
269,-,-,44535,11,1
270,-,-,5/13/2021,31,5
271,-,-,5/14/2021,66,6
272,-,-,5/15/2021,43,5
273,-,-,5/16/2021,59,10
274,-,-,5/17/2021,42,4
275,-,-,5/18/2021,69,7
276,-,-,44260,17,6
277,-,-,44291,40,3
278,-,-,44444,49,6
279,-,-,44474,84,5
280,-,-,5/17/2021,93,26
281,-,-,5/18/2021,54,15
282,-,-,5/24/2021,15,3
283,-,-,5/25/2021,37,4
284,-,-,5/31/2021,21,4
285,-,-,44321,41,2
286,-,-,44352,145,11
287,-,-,44444,31,2
288,-,-,44474,56,7
289,-,-,5/16/2021,10,2
290,-,-,5/17/2021,19,11
291,-,-,5/31/2021,59,49
292,-,-,5/27/2021,17,2
293,-,-,5/28/2021,3,0
294,-,-,44201,34,1
295,-,-,44232,3,1
296,-,-,44260,23,2
297,-,-,44291,0,0
298,-,-,44474,52,2
299,-,-,44505,3,0
300,-,-,5/15/2021,83,11
301,-,-,5/16/2021,164,9
302,-,-,5/22/2021,31,2
303,-,-,5/23/2021,6,0
304,-,-,5/29/2021,8,1
305,-,-,5/30/2021,0,0
306,-,-,44201,146,10
307,-,-,44413,1,0
308,-,-,44444,0,0
309,-,-,5/14/2021,79,5
310,-,-,5/15/2021,64,14
311,-,-,5/21/2021,34,4
312,-,-,5/22/2021,180,14
313,-,-,5/29/2021,32,2
314,-,-,5/30/2021,1,0
315,-,-,44352,16,3
316,-,-,44382,59,10
317,-,-,44413,40,3
318,-,-,5/14/2021,57,3
319,-,-,5/15/2021,39,2
320,-,-,5/16/2021,25,2
321,-,-,5/17/2021,40,2
322,-,-,5/18/2021,1,0
323,-,-,5/21/2021,46,4
324,-,-,5/22/2021,72,6
325,-,-,5/31/2021,67,13
326,-,-,44201,13,1
327,-,-,44232,74,8
328,-,-,44260,39,4
329,-,-,44291,41,5
330,-,-,44321,8,2
331,-,-,44352,24,2
332,-,-,44444,31,2
333,-,-,44474,153,11
334,-,-,5/15/2021,7,1
335,-,-,5/16/2021,56,6
336,-,-,5/23/2021,12,0
337,-,-,5/24/2021,20,1
338,-,-,5/30/2021,11,2
339,-,-,5/31/2021,3,0
340,-,-,44232,15,18
341,-,-,44444,59,83
342,-,-,44474,73,162
343,-,-,5/14/2021,65,14
344,-,-,5/15/2021,51,4
345,-,-,5/16/2021,0,0
346,-,-,5/21/2021,1,0
347,-,-,5/22/2021,40,3
348,-,-,5/23/2021,0,0
349,-,-,5/29/2021,18,21
350,-,-,5/30/2021,0,0
351,-,-,44291,24,7
352,-,-,44321,33,1
353,-,-,5/13/2021,52,20
354,-,-,5/14/2021,44,2
355,-,-,5/19/2021,32,11
356,-,-,5/20/2021,4,1
357,-,-,5/27/2021,20,4
358,-,-,5/28/2021,1,1
359,-,-,5/29/2021,0,0
360,-,-,44232,33,22
361,-,-,44413,48,6
362,-,-,44444,86,6
363,-,-,5/15/2021,61,4
364,-,-,5/16/2021,129,13
365,-,-,5/17/2021,31,2
366,-,-,5/23/2021,54,2
367,-,-,5/29/2021,9,1
368,-,-,5/30/2021,32,0
369,-,-,44321,36,16
370,-,-,5/13/2021,9,7
371,-,-,5/14/2021,19,1
372,-,-,5/15/2021,0,0
373,-,-,5/17/2021,69,9
374,-,-,5/18/2021,55,12
375,-,-,5/19/2021,72,6
376,-,-,5/20/2021,0,0
377,-,-,5/25/2021,23,2
378,-,-,5/31/2021,2,1
379,-,-,44232,2,1
380,-,-,44260,13,1
381,-,-,44444,5,5
382,-,-,44474,0,0
383,-,-,5/16/2021,28,4
384,-,-,5/17/2021,42,3
385,-,-,5/24/2021,46,7
386,-,-,44321,32,4
387,-,-,44535,1,0
388,-,-,5/13/2021,21,2
389,-,-,5/19/2021,114,8
390,-,-,5/20/2021,111,9
391,-,-,5/21/2021,1,0
392,-,-,5/28/2021,27,3
393,-,-,44382,30,1
394,-,-,44413,135,9
395,-,-,5/14/2021,0,0
396,-,-,5/21/2021,8,0
397,-,-,5/22/2021,54,4
398,-,-,44232,30,2
399,-,-,44260,62,6
400,-,-,44444,14,3
401,-,-,44474,5,1
402,-,-,5/17/2021,16,4
403,-,-,5/18/2021,64,18
404,-,-,5/30/2021,17,6
405,-,-,5/31/2021,62,6
406,-,-,5/17/2021,24,9
407,-,-,5/18/2021,45,15
408,-,-,5/19/2021,29,2
409,-,-,5/20/2021,3,1
410,-,-,5/26/2021,24,8
411,-,-,5/27/2021,35,11
412,-,-,44201,51,9
413,-,-,44232,25,13
414,-,-,44444,38,3
415,-,-,44474,59,15
416,-,-,44505,87,10
417,-,-,44535,61,4
418,-,-,5/15/2021,28,6
419,-,-,5/24/2021,135,14
420,-,-,5/25/2021,13,1
421,-,-,5/30/2021,10,2
422,-,-,5/31/2021,0,1
423,-,-,44260,29,3
424,-,-,44291,1,0
425,-,-,44291,5,1
426,-,-,44321,30,2
427,-,-,44505,7,1
428,-,-,44535,15,1
429,-,-,5/27/2021,55,8
430,-,-,5/28/2021,110,5
431,-,-,44382,106,8
432,-,-,44413,49,11
433,-,-,44444,87,7
434,-,-,44474,47,3
435,-,-,5/14/2021,48,3
436,-,-,5/15/2021,71,32
437,-,-,5/16/2021,24,19
438,-,-,5/17/2021,51,6
439,-,-,5/18/2021,5,2
440,-,-,5/20/2021,32,3
441,-,-,5/21/2021,0,0
442,-,-,5/28/2021,13,3
443,-,-,5/13/2021,0,0
444,-,-,5/15/2021,0,0
445,-,-,5/17/2021,43,12
446,-,-,5/18/2021,4,2
447,-,-,5/22/2021,33,1
448,-,-,5/23/2021,48,3
449,-,-,5/30/2021,56,15
450,-,-,5/31/2021,1,0
451,-,-,44232,9,2
452,-,-,44260,19,16
453,-,-,44382,65,17
454,-,-,44413,58,9
455,-,-,44444,22,6
456,-,-,5/14/2021,74,11
457,-,-,5/15/2021,0,0
458,-,-,5/21/2021,15,2
459,-,-,5/22/2021,1,0
460,-,-,5/29/2021,48,26
461,-,-,5/30/2021,19,12
462,-,-,44382,15,3
463,-,-,5/16/2021,0,0
464,-,-,5/22/2021,53,5
465,-,-,5/23/2021,36,3
466,-,-,5/29/2021,0,0
467,-,-,5/30/2021,0,0
468,-,-,44382,47,10
469,-,-,44413,47,4
470,-,-,5/16/2021,36,7
471,-,-,5/17/2021,21,3
472,-,-,5/22/2021,87,35
473,-,-,5/23/2021,161,9
474,-,-,5/29/2021,5,2
475,-,-,5/30/2021,24,13
476,-,-,44260,39,1
477,-,-,44291,0,0
478,-,-,44444,1,0
479,-,-,44474,2,0
480,-,-,5/18/2021,58,5
481,-,-,5/19/2021,18,2
482,-,-,5/24/2021,53,4
483,-,-,5/25/2021,3,0
484,-,-,5/31/2021,12,1
485,-,-,5/26/2021,10,0
486,-,-,5/27/2021,30,11
487,-,-,44201,4,1
488,-,-,44535,12,0
489,-,-,5/13/2021,0,0
490,-,-,5/14/2021,20,2
491,-,-,44201,26,19
492,-,-,44232,34,1
493,-,-,44413,35,4
494,-,-,44444,12,1
495,-,-,5/15/2021,10,1
496,-,-,5/16/2021,17,1
497,-,-,5/23/2021,25,15
498,-,-,5/24/2021,1,0
499,-,-,5/29/2021,2,1
500,-,-,5/30/2021,3,1
501,-,-,44352,14,1
502,-,-,44382,36,3
503,-,-,5/13/2021,18,4
504,-,-,5/14/2021,38,5
505,-,-,5/22/2021,0,0
506,-,-,5/23/2021,0,0
507,-,-,5/24/2021,3,0
508,-,-,5/25/2021,0,0
509,-,-,5/26/2021,1,0
510,-,-,5/27/2021,0,0
511,-,-,5/28/2021,0,0
512,-,-,5/29/2021,0,0
513,-,-,5/30/2021,0,0
514,-,-,5/31/2021,13,4
515,-,-,44232,43,16
516,-,-,44260,0,0
517,-,-,44444,30,8
518,-,-,44474,3,3
519,-,-,5/16/2021,55,9
520,-,-,5/17/2021,80,11
521,-,-,5/18/2021,20,2
522,-,-,5/25/2021,55,5
523,-,-,5/26/2021,86,8
524,-,-,5/27/2021,73,10
525,-,-,5/28/2021,0,0
526,-,-,44260,36,2
527,-,-,44444,28,6
528,-,-,5/23/2021,14,1
529,-,-,5/24/2021,15,1
530,-,-,5/30/2021,5,1
531,-,-,5/31/2021,4,5
532,-,-,44260,0,0
533,-,-,44474,8,1
534,-,-,44505,4,1
535,-,-,44201,43,2
536,-,-,44382,24,3
537,-,-,44413,0,0
538,-,-,5/14/2021,22,2
539,-,-,5/15/2021,59,5
540,-,-,5/22/2021,58,3
541,-,-,5/23/2021,38,4
542,-,-,5/24/2021,37,6
543,-,-,5/25/2021,6,0
544,-,-,5/29/2021,36,4
545,-,-,5/30/2021,168,10
546,-,-,44505,0,0
547,-,-,44535,17,19
548,-,-,5/13/2021,12,3
549,-,-,5/20/2021,45,6
550,-,-,5/21/2021,2,0
551,-,-,44352,11,2
552,-,-,5/14/2021,119,17
553,-,-,44232,4,1
554,-,-,44260,54,30
555,-,-,44444,87,10
556,-,-,44474,135,35
557,-,-,44505,304,35
558,-,-,44535,144,26
559,-,-,5/16/2021,105,54
560,-,-,5/17/2021,56,3
561,-,-,5/24/2021,1,0
562,-,-,5/25/2021,4,1
563,-,-,5/31/2021,34,14
564,-,-,44260,0,0
565,-,-,44291,0,0
566,-,-,44505,44,5
567,-,-,44535,34,2
568,-,-,5/16/2021,34,1
569,-,-,5/28/2021,11,1
570,-,-,5/29/2021,3,0
571,-,-,44291,53,3
572,-,-,44321,5,1
573,-,-,5/13/2021,32,4
574,-,-,5/14/2021,3,0
575,-,-,5/18/2021,16,1
576,-,-,5/19/2021,1,0
577,-,-,5/27/2021,37,2
578,-,-,5/28/2021,41,8
579,-,-,44201,0,0
580,-,-,44352,35,6
581,-,-,44382,35,3
582,-,-,5/13/2021,36,17
583,-,-,5/20/2021,26,12
584,-,-,5/28/2021,66,5
585,-,-,5/29/2021,39,2
586,-,-,44321,9,2
587,-,-,44352,32,23
588,-,-,5/13/2021,35,2
589,-,-,5/14/2021,73,8
590,-,-,5/21/2021,30,1
591,-,-,5/22/2021,23,1
592,-,-,5/28/2021,26,8
593,-,-,44201,50,20
594,-,-,44232,0,0
595,-,-,44413,11,1
596,-,-,44444,49,6
597,-,-,44474,67,6
598,-,-,44505,54,4
599,-,-,5/16/2021,51,4
600,-,-,5/23/2021,35,10
601,-,-,5/24/2021,9,1
602,-,-,5/30/2021,7,1
603,-,-,44260,59,9
604,-,-,44291,105,23
605,-,-,44321,76,7
606,-,-,44352,81,9
607,-,-,44382,48,4
608,-,-,44535,13,3
609,-,-,5/13/2021,15,7
610,-,-,5/19/2021,21,27
611,-,-,5/20/2021,13,1
612,-,-,5/26/2021,4,2
613,-,-,5/27/2021,6,1
614,-,-,5/17/2021,38,2
615,-,-,5/18/2021,177,14
616,-,-,5/20/2021,20,2
617,-,-,5/21/2021,0,0
618,-,-,5/27/2021,34,4
619,-,-,5/28/2021,1,0
620,-,-,44352,25,23
621,-,-,5/13/2021,39,9
622,-,-,5/14/2021,8,5
623,-,-,5/22/2021,44,3
624,-,-,5/23/2021,31,1
625,-,-,5/28/2021,35,1
626,-,-,44352,60,3
627,-,-,5/13/2021,25,2
628,-,-,5/20/2021,52,3
629,-,-,5/21/2021,97,6
630,-,-,5/27/2021,1,0
631,-,-,5/28/2021,46,6
632,-,-,44352,28,8
633,-,-,44382,58,6
634,-,-,5/13/2021,31,20
635,-,-,5/14/2021,16,8
636,-,-,5/21/2021,14,2
637,-,-,5/22/2021,0,0
638,-,-,5/28/2021,36,4
639,-,-,5/29/2021,32,5
640,-,-,5/30/2021,7,1
641,-,-,44232,35,3
642,-,-,44260,11,0
643,-,-,44444,9,3
644,-,-,5/15/2021,24,9
645,-,-,5/16/2021,92,35
646,-,-,5/17/2021,7,4
647,-,-,5/23/2021,16,1
648,-,-,5/24/2021,47,8
649,-,-,44260,13,1
650,-,-,44291,44,4
651,-,-,44413,86,28
652,-,-,44444,54,4
653,-,-,5/15/2021,36,2
654,-,-,5/16/2021,0,0
655,-,-,5/22/2021,14,1
656,-,-,5/23/2021,17,1
657,-,-,5/29/2021,0,0
658,-,-,5/30/2021,32,1
659,-,-,44321,62,28
660,-,-,44352,32,6
661,-,-,44535,6,3
662,-,-,5/13/2021,66,5
663,-,-,5/21/2021,6,2
664,-,-,5/22/2021,0,0
665,-,-,5/28/2021,22,9
666,-,-,5/29/2021,33,21
667,-,-,44382,12,14
668,-,-,44413,42,3
669,-,-,5/14/2021,30,2
670,-,-,5/15/2021,19,1
671,-,-,5/22/2021,28,4
672,-,-,5/23/2021,58,35
673,-,-,5/24/2021,4,1
674,-,-,5/29/2021,36,5
675,-,-,5/30/2021,31,2
676,-,-,44321,15,3
677,-,-,5/14/2021,32,9
678,-,-,5/15/2021,132,40
679,-,-,5/16/2021,145,9
680,-,-,5/17/2021,64,2
681,-,-,5/19/2021,3,1
682,-,-,5/27/2021,4,2
683,-,-,44201,95,13
684,-,-,44232,45,5
685,-,-,44413,30,5
686,-,-,44444,25,3
687,-,-,5/15/2021,16,6
688,-,-,5/16/2021,25,11
689,-,-,5/23/2021,110,30
690,-,-,5/24/2021,25,1
691,-,-,5/30/2021,36,4
692,-,-,44352,0,0
693,-,-,44382,32,11
694,-,-,5/13/2021,21,8
695,-,-,5/19/2021,68,2
696,-,-,5/20/2021,36,4
697,-,-,5/27/2021,55,15
698,-,-,5/28/2021,40,24
699,-,-,44201,12,2
700,-,-,44232,0,0
701,-,-,44321,28,4
702,-,-,44352,17,2
703,-,-,5/13/2021,3,1
704,-,-,5/21/2021,23,6
705,-,-,5/22/2021,1,0
706,-,-,5/28/2021,66,4
707,-,-,5/29/2021,35,2
708,-,-,44505,9,2
709,-,-,44535,29,4
710,-,-,5/21/2021,41,6
711,-,-,5/22/2021,151,10
712,-,-,5/26/2021,24,2
713,-,-,5/31/2021,85,9
714,-,-,44321,118,12
715,-,-,44352,3,0
716,-,-,5/13/2021,38,5
717,-,-,5/14/2021,171,13
718,-,-,5/19/2021,9,2
719,-,-,5/20/2021,27,4
720,-,-,5/22/2021,0,0
721,-,-,5/27/2021,33,6
722,-,-,5/28/2021,32,2
723,-,-,44352,9,1
724,-,-,44382,46,6
725,-,-,5/14/2021,36,2
726,-,-,44321,16,3
727,-,-,44352,28,5
728,-,-,44382,0,0
729,-,-,5/13/2021,47,3
730,-,-,5/14/2021,1,0
731,-,-,44321,23,1
732,-,-,44352,13,1
733,-,-,5/14/2021,45,12
734,-,-,5/15/2021,58,11
735,-,-,5/19/2021,0,0
736,-,-,5/20/2021,5,1
737,-,-,5/28/2021,6,4
738,-,-,5/29/2021,5,1
739,-,-,44201,9,2
740,-,-,44382,29,3
741,-,-,5/14/2021,18,1
742,-,-,5/15/2021,11,0
743,-,-,5/22/2021,45,4
744,-,-,5/23/2021,0,0
745,-,-,5/29/2021,18,14
746,-,-,5/30/2021,8,1
747,-,-,44321,8,1
748,-,-,44352,35,3
749,-,-,44474,15,10
750,-,-,44505,0,0
751,-,-,5/16/2021,1,0
752,-,-,5/17/2021,1,1
753,-,-,5/25/2021,37,21
754,-,-,5/26/2021,29,13
755,-,-,5/31/2021,38,20
756,-,-,44260,61,5
757,-,-,44321,41,7
758,-,-,44413,25,9
759,-,-,44444,31,9
760,-,-,5/16/2021,48,6
761,-,-,5/23/2021,3,2
762,-,-,5/24/2021,6,1
763,-,-,5/29/2021,2,0
764,-,-,5/30/2021,26,4
765,-,-,44321,4,1
766,-,-,44352,34,6
767,-,-,5/18/2021,52,18
768,-,-,5/19/2021,32,10
769,-,-,5/20/2021,20,2
770,-,-,5/29/2021,35,5
771,-,-,44232,34,2
772,-,-,44260,12,1
773,-,-,44413,98,35
774,-,-,44444,1,0
775,-,-,5/18/2021,132,9
776,-,-,5/19/2021,124,12
777,-,-,5/20/2021,105,13
778,-,-,5/21/2021,107,11
779,-,-,5/22/2021,120,14
780,-,-,5/23/2021,74,12
781,-,-,5/24/2021,85,17
782,-,-,5/25/2021,93,10
783,-,-,5/26/2021,41,3
784,-,-,5/28/2021,21,4
785,-,-,5/29/2021,35,6
786,-,-,5/30/2021,92,11
787,-,-,5/31/2021,5,1
788,-,-,44201,0,0
789,-,-,44382,7,2
790,-,-,44413,0,0
791,-,-,5/14/2021,68,8
792,-,-,5/15/2021,2,1
793,-,-,5/21/2021,36,11
794,-,-,5/22/2021,83,4
795,-,-,5/29/2021,19,1
796,-,-,44291,36,4
797,-,-,44474,21,17
798,-,-,44505,32,5
799,-,-,5/20/2021,39,6
800,-,-,5/21/2021,31,3
801,-,-,5/26/2021,9,1
802,-,-,5/27/2021,16,3
803,-,-,5/31/2021,42,5
804,-,-,44201,48,24
805,-,-,44232,0,0
806,-,-,5/15/2021,23,1
807,-,-,5/24/2021,27,36
808,-,-,5/25/2021,44,15
809,-,-,5/26/2021,41,8
810,-,-,5/27/2021,12,3
811,-,-,5/30/2021,58,9
